         X1       X2      Y
 10406.0401   0.9853   13.6
 20736.0000   1.0938   16.6
   256.0000   0.9280   10.2
     0.0001   0.9462    5.4
 14641.0000   0.8885   15.0
   530.8416   1.0267    9.0
  4978.7136   0.9225   12.3
 25204.7376   0.9372   16.3
 14115.8161   0.8858   15.4
  8852.9281   0.9643   13.0
 15180.7041   0.9316   14.4
   208.5136   0.9705   10.0
  2998.6576   1.1240   10.2
   625.0000   0.8517    9.5
 28561.0000   0.9186   18.5
  5996.9536   1.0395   12.6
 19387.7776   0.9573   17.5
     0.0625   0.9106    4.9
 12155.0625   1.0070   15.9
   118.5921   0.9806    8.5
   447.7456   0.9693   10.6
 15735.1936   0.9496   13.9
  4096.0000   1.1184   14.9

