r	Sixes	Rolls	Group
0.25	30	30	1
0.5	28	30	1
0.75	18	30	1
0.85	16	30	1
0.9	19	30	1
1	12	30	1
1.1	9	30	1
1.15	4	30	1
1.25	6	30	1
1.5	1	30	1
1.75	0	30	1
2	0	30	1
0.25	27	30	2
0.5	26	30	2
0.75	20	30	2
0.85	16	30	2
0.9	13	30	2
1	8	30	2
1.1	8	30	2
1.15	5	30	2
1.25	5	30	2
1.5	1	30	2
1.75	2	30	2
2	0	30	2
0.25	30	30	3
0.5	29	30	3
0.75	24	30	3
0.85	23	30	3
0.9	15	30	3
1	12	30	3
1.1	11	30	3
1.15	7	30	3
1.25	4	30	3
1.5	2	30	3
1.75	1	30	3
2	0	30	3
0.22	266	270	A
0.45	208	270	A
0.73	170	270	A
0.86	139	270	A
0.9	116	270	A
1	93	270	A
1.12	80	270	A
1.16	61	270	A
1.24	48	270	A
1.5	24	270	A
1.76	14	270	A
2	10	270	A
0.25	294	300	D
0.5	234	300	D
0.75	167	300	D
0.85	151	300	D
0.9	144	300	D
1	99	300	D
1.1	62	300	D
1.15	79	300	D
1.25	58	300	D
1.5	14	300	D
1.75	5	300	D
2	4	300	D
0.25	97	100	S
0.5	84	100	S
0.75	68	100	S
0.85	48	100	S
0.9	48	100	S
1	29	100	S
1.1	20	100	S
1.15	24	100	S
1.25	16	100	S
1.5	5	100	S
1.75	4	100	S
2	0	100	S
